अँगड़ाई,आँकड़ा,इंका,ईंट,उँगली,ऊँचा,ऋग्वेद,एंजियोग्राफी,ऐंठ,ऑकलैंड,ओंठ,औंधा,कँपकँपी,खंगालना,गँवई,घंटा,चँवर,छँटाई,जँभाई,झंकार,टंकण,डंक,ढँकना,तंग,थंडर,दंग,धँसना,नंगा,पंक,फँसना,बँगला,भँवर,मँगनी,यंत्र,रंक,लँगड़ा,वंचित,श,षडयंत्र,सँकरा,ह,क़द,ख़त,ग़म,ज़ख्म,फ़र्श
अंत,आकर्षण,इग्लू,,उजाला,,,एकान्त,,,,,कचौड़ी,खपत,गण,घाटा,चढ़ावा,छांट,जनगणना,झाम,टाउन,डाइऑक्साइड,ढोल,तड़के,थोरियम,दबोच,धर्मगुरु,नज़दीक,पकड़,फव्वारा,बक़ाया,भभका,मंदी,याचिका,रख,लचक,वफ़ादारी,शमशान,,संगरोध,हत्थे,,,,,
अंतः,आकर्षित,इच्छा,,उजाड़,,,एकालाप,,,,,कचौरी,खपरैल,गणतंत्र,घाटी,चण्डी,छांटना,जनजाति,झाल,टाउनशिप,डाइऑक्सिन,ढोलक,तड़प,थोड़ा,दबोचना,धर्मग्रंथ,नज़दीकी,पकड़ना,फसल,बकाया,भभूत,मंशा,याची,रखना,लचकदार,वफा,शमशीर,,संगरोधन,हत्या,,,,,
अंतःकरण,आकलन,इच्छानुसार,,उजाड़ना,,,एकीकरण,,,,,कच्चा,खपाना,गणना,घात,चतुर,छाछ,जनजातीय,झालर,टाट,डाइरेक्टर,ढोलकिया,ततैया,,दब्बू,धर्मदान,नज़र,पकड़ी,फसली,बकेट,भय,मंसूबा,यातना,रखनी,लचीला,वफादार,शमशेर,,संगिनी,हत्याकांड,,,,,
अंतःपुर,आकस्मिक,इच्छाशक्ति,,उज्ज्वल,,,एकीकृत,,,,,कच्छ,खफा,गणपति,घातक,चतुरंग,छाता,जनतंत्र,झाड़,टाप,डाइविंग,,तत्काल,,दम,धर्मनिरपेक्ष,नज़रबंदी,पकड़े,फसाद,बक्की,भयंकर,मंहगा,यातायात,रखनेवाला,लचीलापन,वफादारी,शमा,,संगी,हत्याकाण्ड,,,,,
अंतःस्थापित,आकस्मिकता,इच्छित,,उज्र,,,एकीभाव,,,,,कच्छप,खबर,गणपूर्ति,घान,चतुरंगिणी,छाती,जनता,झाड़ना,टापू,डाई,,तत्कालिक,,दमक,धर्मनिरपेक्षतावादी,नज़राना,पखवाड़ा,फसाना,बक्स,भयंकरता,मंहगी,यात्रा,रखरखाव,लचीली,वमन,शयन,,संगीत,हत्यारा,,,,,
अंतकाल,आकांक्षा,इच्छुक,,उठना,,,एके,,,,,कच्छा,खबरदार,गणराज्य,घाना,चतुरता,छात्र,जनन,झाड़ी,टायर,डाउन,,तत्कालीन,,दमकना,धर्मनिष्ठ,नज़रिया,पग,फहराना,बख़ूबी,भयग्रस्त,मंज़िल,यात्री,रखवाला,लच्छा,वय,शयनकक्ष,,संगीतकार,हथकंडा,,,,,
अंततः,आकांक्षी,इजराइल,,उठा,,,एकेश्वरवाद,,,,,कच्छी,खब्बू,गणिका,घाम,चतुराई,छात्रवृत्ति,जनना,झाड़ू,टार,डाउनलोड,,तत्क्षण,,दमकल,धर्मपत्नी,नज़ाकत,पगडंडी,फ़क़ीर,बख़्तरबंद,भयभीत,मई,याद,रखवाली,लच्छी,वयस्क,शय्या,,संगीतज्ञ,हथकड़ी,,,,,
अंततोगत्वा,आकार,इजलास,,उठा देना,,,एक्यूप्रेशर,,,,,कछ,खम,गणित,घायल,चतुर्थ,छात्रा,जननांग,झिझक,टार्च,डाक,,तत्त्व,,दमकलकर्मी,धर्मपरायण,नज़ारा,पगड़ी,फ़कीर,बखान,भयभीत करना,मकई,यादगार,रखा,लच्छे,वयस्कता,शर,,संगीतप्रेमी,हथकरघा,,,,,
अंतर,आकाश,इजहार,,उठाई,,,एक्रोपोलिस,,,,,कछार,खमीर,गणितज्ञ,घालमेल,चतुर्थी,छात्रावास,जननी,झिझकना,टार्ट,डाकखाना,,तत्त्वज्ञान,,दमघोंटू,धर्मपिता,नजाकत,पगला,फ़तवा,बखिया,भयरहित,मकड़ी,याददाश्त,रखैल,लच्छेदार,वयोवृद्ध,शरण,,संगीतमय,हथकड़ी,,,,,
अंतरंग,आकाशगंगा,इज़राइल,,उठान,,,एक्स,,,,,कछुआ,खयानत,गणितीय,घाव,चतुर्भुज,छादी,जनपद,झिड़की,टाल,डाकघर,,तत्पर,,दमदमा,धर्मभीरू,नजारा,पगार,फ़तह,बखूबी,भयाक्रांत,मकतब,यादव,रग,लजीला,वर,शरणागत,,संगीन,हथगोला,,,,,
अंतरंगता,आकाशदीप,इज़ाफ़ा,,उठाना,,,एक्सप्रेस,,,,,कजाखस्तान,खयाल,गणेश,घास,चतुर्मुखी,छान,जनम,झिलमिल,टालना,डाकपाल,,तत्परता,,दमदार,धर्मयुद्ध,नज्म,पगोड़ा,फ़रमान,बखेड़ा,भयानक,मकबरा,यादाश्त,रगड़,लज्जा,वरक,शरणार्थी,,संगृहित,हथियाना,,,,,
अंतरण,आकाशवाणी,इज़्ज़त,,उठाव,,,एक्सरे,,,,,कज्जल,खयाली,गत,घिन,चतुष्कोण,छानना,जनमत,झिलमिला,टालमटोल,डाका,,तत्पश्चात,,दमन,धर्मशाला,नट,पगड़ी,फ़रवरी,बख्तरबंद,भयावह,मकर,यान,रग्बी,लज्जाजनक,वरण,शरद,,संगृहीत,हथियार,,,,,
अंतरतम,आकाशीय,इजाज़त,,उड़द,,,एक्सेसरी,,,,,कटक,खर,गति,घिनौना,चतुष्कोणीय,छानबीन,जनमोर्चा,झिलमिलाता,टाला,डाकिया,,तत्व,,दमनकारी,धर्मशास्त्र,नटखट,पचपन,फ़रार,बख्शीश,भयावहता,मकरंद,याना,रगड़,लज्जित,वरदान,शरद्,,संगोष्ठी,हथियारबंद,,,,,
अंतरराज्यीय,आकुल,इजिप्ट,,उड़न,,,एकड़,,,,,कटघरा,खरगोश,गतिमान,घिरना,चद्दर,छाना,जनरल,झिलमिली,टावर,डाकू,,तथा,,दमनात्मक,धर्मसंकट,नटी,पचहत्तर,फ़रारी,बग,भर,मकरी,यानि,रगड़कर,लट,वरन,शरबत,,संग्रह,हथेली,,,,,
अंतरराष्ट्रीय,आकुलता,इज्जत,,उड़नदस्ता,,,एच,,,,,कटना,खरब,गतिरोध,घिरनी,चना,छानी,जनरेटर,झिल्ली,टिंचर,डाक्टर,,तथाकथित,,दमा,धर्मसंघ,नट्स,पचा,फ़रियाद,बगदाद,भरण,मकसद,यानी,रगड़ना,लटकता,वरना,शरम,,संग्रहकर्ता,हथौड़ा,,,,,
अंतरराष्ट्रीयकरण,आकृति,इज्जतदार,,उड़ना,,,एचआईवी,,,,,कटरा,खरबूज,गतिविधि,घिरा,चन्दन,छाप,जनवरी,झिड़क,टिंडा,डाक्टरी,,तथापि,,दमित,धर्मसभा,नत,पचाना,फ़रिश्ता,बगल,भरत,मक़बरा,यायावर,रचना,लटकन,वराह,शराफत,,संग्रहण,हद,,,,,
अंतराल,आकृष्ट,इज्ज़त,,उड़ान,,,एजी,,,,,कटलरी,खरबूजा,गतिशील,घिसना,चन्दा,छापना,जनवादी,झिड़कना,टिक,डाट,,तथास्तु,,दमिश्क,धर्मांतरित,नतिनी,पचास,फ़रोख़्त,बगला,भरता,मक़ाम,यार,रचनाकार,लटकना,वरियता,शराब,,संग्रहणीय,हदबंदी,,,,,
